FECHA;Precipitación: l/m2
25/01/2016;0
26/01/2016;0
27/01/2016;0
28/01/2016;7
29/01/2016;0
30/01/2016;0
31/01/2016;0
01/02/2016;0
02/02/2016;
03/02/2016;
04/02/2016;
05/02/2016;
06/02/2016;
07/02/2016;0.4
08/02/2016;0
09/02/2016;3.6
10/02/2016;10.4
11/02/2016;3.2
12/02/2016;10.4
13/02/2016;5.2
14/02/2016;2.6
15/02/2016;19
16/02/2016;1.6
17/02/2016;0.2
18/02/2016;0.8
19/02/2016;0
20/02/2016;0
21/02/2016;0
22/02/2016;0
23/02/2016;0
24/02/2016;0
25/02/2016;0.2
26/02/2016;9.4
27/02/2016;12
28/02/2016;10.6
29/02/2016;0
01/03/2016;0
02/03/2016;1.6
03/03/2016;0.2
04/03/2016;8.6
05/03/2016;0.2
06/03/2016;0.2
07/03/2016;2.4
08/03/2016;4.8
09/03/2016;10
10/03/2016;32.4
11/03/2016;1
12/03/2016;0
13/03/2016;0
14/03/2016;7.6
15/03/2016;0
16/03/2016;0
17/03/2016;0
18/03/2016;0.2
19/03/2016;10.2
20/03/2016;1.4
21/03/2016;0
22/03/2016;0
23/03/2016;0
24/03/2016;0
25/03/2016;2.4
26/03/2016;0
27/03/2016;0.8
28/03/2016;0
29/03/2016;0.8
30/03/2016;0
31/03/2016;13.6
01/04/2016;0.4
02/04/2016;0
03/04/2016;3.4
04/04/2016;2.2
05/04/2016;0
06/04/2016;0
07/04/2016;0.4
08/04/2016;2.8
09/04/2016;0
10/04/2016;1
11/04/2016;2
12/04/2016;1.4
13/04/2016;0
14/04/2016;2
15/04/2016;3.6
16/04/2016;7.8
17/04/2016;0
18/04/2016;0
19/04/2016;3.2
20/04/2016;7
21/04/2016;0.2
22/04/2016;6.2
23/04/2016;2.6
24/04/2016;0.2
25/04/2016;0
26/04/2016;0
27/04/2016;0
28/04/2016;0
29/04/2016;0
30/04/2016;1.4
01/05/2016;0
02/05/2016;0
03/05/2016;0
04/05/2016;0
05/05/2016;0.4
06/05/2016;0.4
07/05/2016;1.8
08/05/2016;9.2
09/05/2016;2.6
10/05/2016;2.6
11/05/2016;0
12/05/2016;3.6
13/05/2016;1.2
14/05/2016;1.2
15/05/2016;0
16/05/2016;0
17/05/2016;0
18/05/2016;0
19/05/2016;0
20/05/2016;0
21/05/2016;3
22/05/2016;4
23/05/2016;0
24/05/2016;0
25/05/2016;0
26/05/2016;0
27/05/2016;0.2
28/05/2016;2.6
29/05/2016;9.6
30/05/2016;0.8
31/05/2016;0
01/06/2016;0
02/06/2016;0
03/06/2016;1.2
04/06/2016;0
05/06/2016;0
06/06/2016;0
07/06/2016;0
08/06/2016;0
09/06/2016;0
10/06/2016;0
11/06/2016;0
12/06/2016;0
13/06/2016;0
14/06/2016;1.4
15/06/2016;6.4
16/06/2016;5.2
17/06/2016;8.8
18/06/2016;0
19/06/2016;0
20/06/2016;0
21/06/2016;0
22/06/2016;0
23/06/2016;1.2
24/06/2016;0
25/06/2016;0
26/06/2016;0
27/06/2016;0
28/06/2016;0
29/06/2016;0
30/06/2016;0
01/07/2016;0
02/07/2016;0
03/07/2016;0
04/07/2016;0.8
05/07/2016;0
06/07/2016;0
07/07/2016;5.4
08/07/2016;0
09/07/2016;0
10/07/2016;0
11/07/2016;0
12/07/2016;0
13/07/2016;0
14/07/2016;0
15/07/2016;0
16/07/2016;0
17/07/2016;0
18/07/2016;0
19/07/2016;0
20/07/2016;0
21/07/2016;0
22/07/2016;0
23/07/2016;0.4
24/07/2016;0
25/07/2016;0
26/07/2016;0
27/07/2016;0
28/07/2016;0
29/07/2016;0
30/07/2016;0
31/07/2016;1.2
01/08/2016;0
02/08/2016;0
03/08/2016;0
04/08/2016;1
05/08/2016;0
06/08/2016;0
07/08/2016;0
08/08/2016;0
09/08/2016;0.2
10/08/2016;0
11/08/2016;0.2
12/08/2016;0
13/08/2016;0
14/08/2016;0
15/08/2016;0
16/08/2016;0
17/08/2016;0
18/08/2016;0
19/08/2016;0
20/08/2016;0.2
21/08/2016;0
22/08/2016;0
23/08/2016;0
24/08/2016;0
25/08/2016;0
26/08/2016;0
27/08/2016;0
28/08/2016;0
29/08/2016;0
30/08/2016;0
31/08/2016;0
01/09/2016;0
02/09/2016;0
03/09/2016;0
04/09/2016;0
05/09/2016;0
06/09/2016;0
07/09/2016;0
08/09/2016;0
